,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,dist_from_bway_miles,years_host_since,days_since_first_review,days_since_last_review,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Other,property_type_Townhouse,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Other,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60
2851,1.0,1.0,3.0,1.0,1.0,36.13258,-86.76926,4.0,1.5,1.0,1.0,130.0,650.0,95.0,1.0,0.0,1.0,1125.0,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.0273972602739726,29.0,4.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1.23,2.0656419082066213,4.298514000971957,707.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2855,1.0,1.0,2.0,1.0,1.0,36.18189,-86.7566,10.0,1.5,3.0,4.0,99.0,300.0,100.0,4.0,0.0,2.0,30.0,0.23333333333333334,0.5166666666666667,0.6777777777777778,0.9068493150684932,138.0,77.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,6.16,1.6804931211712772,7.312949615666304,671.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2856,1.0,0.0,1.0,1.0,0.0,36.16196,-86.81826,10.0,2.0,3.0,5.0,250.0,400.0,150.0,5.0,10.0,2.0,1125.0,0.26666666666666666,0.4,0.6,0.39452054794520547,55.0,31.0,93.0,10.0,9.0,10.0,10.0,8.0,9.0,1.0,0.0,0.0,0.0,2.63,2.452415134600108,1.9439139749618404,627.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2857,1.0,0.0,71.0,1.0,0.0,36.13665,-86.76371999999999,10.0,2.5,3.0,5.0,129.0,300.0,269.0,1.0,0.0,2.0,1125.0,0.3333333333333333,0.48333333333333334,0.6555555555555556,0.7835616438356164,30.0,18.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,0.0,0.0,0.0,1.32,1.8632113668044152,3.4223837587356347,683.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2858,1.0,1.0,1.0,1.0,0.0,36.172740000000005,-86.72088000000001,4.0,1.0,1.0,2.0,90.0,200.0,40.0,3.0,20.0,1.0,120.0,0.4666666666666667,0.7166666666666667,0.8111111111111111,0.9534246575342465,53.0,33.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,2.99,3.078210468564931,4.230066325797244,530.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2859,1.0,1.0,1.0,1.0,0.0,36.10886,-86.80523000000001,4.0,1.0,1.0,2.0,101.0,150.0,60.0,2.0,0.0,3.0,1125.0,0.23333333333333334,0.5166666666666667,0.6777777777777778,0.16712328767123288,33.0,15.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1.53,4.064900682224284,2.674935145827772,646.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2860,1.0,1.0,1.0,1.0,0.0,36.14312,-86.84458000000001,2.0,1.0,0.0,2.0,195.0,250.0,75.0,1.0,0.0,2.0,31.0,0.3333333333333333,0.55,0.7,0.1726027397260274,67.0,39.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,3.03,4.140044578348974,1.941176067954852,662.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2861,1.0,1.0,3.0,1.0,0.0,36.12407,-86.78487,2.0,1.0,1.0,1.0,120.0,250.0,15.0,1.0,0.0,2.0,14.0,0.0,0.0,0.24444444444444444,0.06027397260273973,50.0,16.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,2.15,2.696669740003015,3.0555042197991744,698.0,142.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2863,1.0,1.0,1.0,1.0,0.0,36.18207,-86.80405,8.0,2.0,3.0,4.0,250.0,100.0,185.0,4.0,0.0,2.0,29.0,0.36666666666666664,0.5333333333333333,0.6888888888888889,0.41643835616438357,91.0,40.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,3.87,2.1484036309926178,1.9384381609478634,705.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2864,0.65,0.0,30.0,1.0,0.0,36.14053,-86.89050999999999,12.0,2.5,4.0,5.0,375.0,0.0,160.0,10.0,50.0,2.0,1125.0,0.5666666666666667,0.7833333333333333,0.8555555555555555,0.9643835616438357,23.0,9.0,90.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,0.0,0.0,0.0,0.69,6.663170864758411,1.946651881968829,992.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
